          Wells Dam Bull Trout for 01/01/1998 to 04/28/2026        ,,,
Species,Location,Date,Size
Bull Trout,West Ladder,05/20/2013 11:14:11 AM,22
Bull Trout,East Ladder,05/20/2013  3:25:03 PM,21
Bull Trout,East Ladder,05/20/2013  4:02:33 PM,22
Bull Trout,West Ladder,05/23/2013  8:23:24 AM,23
Bull Trout,West Ladder,05/24/2013 10:05:56 AM,21
Bull Trout,East Ladder,05/24/2013  6:08:59 PM,23
Bull Trout,East Ladder,05/25/2013 12:32:50 AM,25
Bull Trout,West Ladder,05/25/2013  2:51:44 PM,23
Bull Trout,East Ladder,05/26/2013 12:36:28 PM,22
Bull Trout,East Ladder,05/26/2013  1:50:56 PM,19
Bull Trout,East Ladder,05/27/2013 11:28:34 AM,15
Bull Trout,East Ladder,05/27/2013  1:42:11 PM,23
Bull Trout,East Ladder,05/27/2013  2:54:43 PM,21
Bull Trout,West Ladder,05/28/2013  1:09:00 PM,23
Bull Trout,East Ladder,05/28/2013  7:57:53 PM,20
Bull Trout,East Ladder,05/28/2013  8:40:28 PM,25
Bull Trout,East Ladder,05/29/2013  5:48:41 AM,25
Bull Trout,East Ladder,05/29/2013  5:17:37 PM,20
Bull Trout,West Ladder,05/29/2013  9:25:48 PM,20
Bull Trout,East Ladder,05/30/2013 11:34:37 AM,24
Bull Trout,East Ladder,05/30/2013 12:26:28 PM,23
Bull Trout,West Ladder,05/30/2013  2:06:09 PM,23
Bull Trout,West Ladder,05/31/2013  8:10:33 AM,24
Bull Trout,East Ladder,05/31/2013  1:42:41 PM,23
Bull Trout,East Ladder,05/31/2013  2:49:21 PM,21
Bull Trout,East Ladder,05/31/2013  2:55:04 PM,23
Bull Trout,East Ladder,05/31/2013 10:25:59 PM,22
Bull Trout,East Ladder,06/01/2013 12:54:03 PM,23
Bull Trout,East Ladder,06/01/2013  1:22:08 PM,25
Bull Trout,East Ladder,06/01/2013  2:13:13 PM,22
Bull Trout,West Ladder,06/01/2013  4:26:54 PM,25
Bull Trout,West Ladder,06/02/2013  2:06:46 PM,23
Bull Trout,East Ladder,06/02/2013  4:22:48 PM,23
Bull Trout,East Ladder,06/02/2013  5:18:06 PM,22
Bull Trout,West Ladder,06/02/2013  7:44:27 PM,23
Bull Trout,East Ladder,06/03/2013  8:17:02 AM,22
Bull Trout,West Ladder,06/03/2013 12:16:28 PM,23
Bull Trout,East Ladder,06/03/2013  1:24:02 PM,20
Bull Trout,West Ladder,06/04/2013  1:29:52 PM,24
Bull Trout,East Ladder,06/05/2013  9:56:33 AM,19
Bull Trout,East Ladder,06/05/2013 11:59:08 AM,22
Bull Trout,West Ladder,06/05/2013  1:15:18 PM,22
