tag,mark_file,mark_data_project,mark_site,mark_date,release_site,release_date,species_code,species_name,run_code,run_name,rear_type_code,rear_type_name,length,mark_count
3DD.003E215E18,CGS-2023-128-WDT.xml,CGS - Charles Snow Projects,WELLD1 - WEL - Release into the East Adult Fish Ladder,5/13/2023,WELLD2 - WEL - Release into the West Adult Fish Ladder,5/13/2023,7,Bull Trout,R,Resident,W,Wild Fish or Natural Production,570,1
3DD.003E215E24,CGS-2022-123-BC1.xml,CGS - Charles Snow Projects,WELLD1 - WEL - Release into the East Adult Fish Ladder,6/7/2022,WELLD1 - WEL - Release into the East Adult Fish Ladder,6/7/2022,7,Bull Trout,R,Resident,W,Wild Fish or Natural Production,570,1
3DD.003E215E27,CGS-2023-128-WDT.xml,CGS - Charles Snow Projects,WELLD1 - WEL - Release into the East Adult Fish Ladder,5/10/2023,WELLD2 - WEL - Release into the West Adult Fish Ladder,5/10/2023,7,Bull Trout,R,Resident,W,Wild Fish or Natural Production,610,1
3DD.003E215E35,CGS-2023-128-WDT.xml,CGS - Charles Snow Projects,WELLD1 - WEL - Release into the East Adult Fish Ladder,5/17/2023,WELLD2 - WEL - Release into the West Adult Fish Ladder,5/17/2023,7,Bull Trout,R,Resident,W,Wild Fish or Natural Production,590,1
3DD.003E215E39,CGS-2023-128-WDT.xml,CGS - Charles Snow Projects,WELLD1 - WEL - Release into the East Adult Fish Ladder,5/14/2023,WELLD1 - WEL - Release into the East Adult Fish Ladder,5/14/2023,7,Bull Trout,R,Resident,W,Wild Fish or Natural Production,590,1
3DD.003E215E53,CGS-2022-123-BC1.xml,CGS - Charles Snow Projects,WELLD1 - WEL - Release into the East Adult Fish Ladder,6/15/2022,WELLD1 - WEL - Release into the East Adult Fish Ladder,6/15/2022,7,Bull Trout,R,Resident,W,Wild Fish or Natural Production,580,1
3DD.003E21607A,CGS-2023-128-WDT.xml,CGS - Charles Snow Projects,WELLD1 - WEL - Release into the East Adult Fish Ladder,6/1/2023,WELLD1 - WEL - Release into the East Adult Fish Ladder,6/1/2023,7,Bull Trout,R,Resident,W,Wild Fish or Natural Production,580,1
3DD.003E21607B,CGS-2023-128-WDT.xml,CGS - Charles Snow Projects,WELLD2 - WEL - Release into the West Adult Fish Ladder,6/14/2023,WELLD2 - WEL - Release into the West Adult Fish Ladder,6/14/2023,7,Bull Trout,R,Resident,W,Wild Fish or Natural Production,680,1
3DD.003E2304F3,CGS-2023-128-WDT.xml,CGS - Charles Snow Projects,WELLD2 - WEL - Release into the West Adult Fish Ladder,5/25/2023,WELLD2 - WEL - Release into the West Adult Fish Ladder,5/25/2023,7,Bull Trout,R,Resident,W,Wild Fish or Natural Production,450,1
3DD.003E45D0D4,CGS-2024-129-WEL.xml,CGS - Charles Snow Projects,WELLD2 - WEL - Release into the West Adult Fish Ladder,6/25/2024,WELLD2 - WEL - Release into the West Adult Fish Ladder,6/26/2024,7,Bull Trout,R,Resident,W,Wild Fish or Natural Production,480,1
3DD.0078E12787,CGS-2025-335-EU1.xml,CGS - Charles Snow Projects,WELLD1 - WEL - Release into the East Adult Fish Ladder,12/1/2025,WELLD1 - WEL - Release into the East Adult Fish Ladder,12/1/2025,7,Bull Trout,R,Resident,W,Wild Fish or Natural Production,280,1
3DD.0078E12BC1,CGS-2025-126-WE1.xml,CGS - Charles Snow Projects,WELLD1 - WEL - Release into the East Adult Fish Ladder,6/15/2025,WELLD1 - WEL - Release into the East Adult Fish Ladder,6/15/2025,7,Bull Trout,R,Resident,W,Wild Fish or Natural Production,440,1
3DD.0078E13900,CGS-2025-126-WE1.xml,CGS - Charles Snow Projects,WELLD2 - WEL - Release into the West Adult Fish Ladder,5/12/2025,WELLD2 - WEL - Release into the West Adult Fish Ladder,5/12/2025,7,Bull Trout,R,Resident,W,Wild Fish or Natural Production,770,1
