tag,mark_file,mark_date,mark_site,release_date,release_site,species_code,species_name,run_code,run_name,rear_type_code,rear_type_name,recap_date,recap_file,recap_release_date,recap_release_site,recap_site,recap_species_code,recap_species_name,recap_run_code,recap_run_name,recap_rear_type_code,recap_rear_type_name,recap_length,recap_capture_method_name,recap_capture_method_code,recap_count
3DD.0077417C45,NBD-2020-189-001.xml,7/13/2020,CHIW - Chiwawa Weir,7/13/2020,CHIWAR - Chiwawa River,7,Bull Trout,R,Resident,W,Wild Fish or Natural Production,7/18/2022,NBD-2022-193-001.xml,7/18/2022,CHIWAR - Chiwawa River,CHIW - Chiwawa Weir,7,Bull Trout,R,Resident,W,Wild Fish or Natural Production,NA,Adult Passage Ladder,LADDER,1
3DD.0077417C45,NBD-2020-189-001.xml,7/13/2020,CHIW - Chiwawa Weir,7/13/2020,CHIWAR - Chiwawa River,7,Bull Trout,R,Resident,W,Wild Fish or Natural Production,7/18/2022,NBD-2022-194-002.xml,7/18/2022,CHIWAR - Chiwawa River,CHIW - Chiwawa Weir,7,Bull Trout,R,Resident,W,Wild Fish or Natural Production,NA,Weir Trap,WTRAP,1
3DD.0077417C45,NBD-2020-189-001.xml,7/13/2020,CHIW - Chiwawa Weir,7/13/2020,CHIWAR - Chiwawa River,7,Bull Trout,R,Resident,W,Wild Fish or Natural Production,7/18/2022,NBD-2022-195-001.xml,7/18/2022,CHIWAR - Chiwawa River,CHIW - Chiwawa Weir,7,Bull Trout,R,Resident,W,Wild Fish or Natural Production,NA,Weir Trap,WTRAP,1
3DD.007741805E,NBD-2016-074-TUM.xml,3/14/2016,"TUM - Tumwater Dam, Wenatchee River",6/2/2016,TUMFBY - TUM - Release into the Forebay within 0.5 km upstream of Dam,7,Bull Trout,R,Resident,W,Wild Fish or Natural Production,4/1/2017,NBD-2017-091-TUM.xml,7/4/2017,TUMFBY - TUM - Release into the Forebay within 0.5 km upstream of Dam,"TUM - Tumwater Dam, Wenatchee River",7,Bull Trout,R,Resident,W,Wild Fish or Natural Production,NA,Adult Passage Ladder,LADDER,1
3DD.007741805E,NBD-2016-074-TUM.xml,3/14/2016,"TUM - Tumwater Dam, Wenatchee River",6/2/2016,TUMFBY - TUM - Release into the Forebay within 0.5 km upstream of Dam,7,Bull Trout,R,Resident,W,Wild Fish or Natural Production,6/12/2018,NBD-2018-079-001.xml,6/12/2018,TUMFBY - TUM - Release into the Forebay within 0.5 km upstream of Dam,"TUM - Tumwater Dam, Wenatchee River",7,Bull Trout,R,Resident,W,Wild Fish or Natural Production,550,Adult Passage Ladder,LADDER,1
3DD.007741805E,NBD-2016-074-TUM.xml,3/14/2016,"TUM - Tumwater Dam, Wenatchee River",6/2/2016,TUMFBY - TUM - Release into the Forebay within 0.5 km upstream of Dam,7,Bull Trout,R,Resident,W,Wild Fish or Natural Production,6/10/2019,NBD-2019-137-001.xml,6/10/2019,TUMFBY - TUM - Release into the Forebay within 0.5 km upstream of Dam,"TUM - Tumwater Dam, Wenatchee River",7,Bull Trout,R,Resident,W,Wild Fish or Natural Production,NA,Adult Passage Ladder,LADDER,1
3DD.007741890E,NBD-2016-074-TUM.xml,3/14/2016,"TUM - Tumwater Dam, Wenatchee River",6/2/2016,TUMFBY - TUM - Release into the Forebay within 0.5 km upstream of Dam,7,Bull Trout,R,Resident,W,Wild Fish or Natural Production,4/1/2017,NBD-2017-091-TUM.xml,6/18/2017,TUMFBY - TUM - Release into the Forebay within 0.5 km upstream of Dam,"TUM - Tumwater Dam, Wenatchee River",7,Bull Trout,R,Resident,W,Wild Fish or Natural Production,540,Adult Passage Ladder,LADDER,1
3DD.007741890E,NBD-2016-074-TUM.xml,3/14/2016,"TUM - Tumwater Dam, Wenatchee River",6/2/2016,TUMFBY - TUM - Release into the Forebay within 0.5 km upstream of Dam,7,Bull Trout,R,Resident,W,Wild Fish or Natural Production,6/20/2018,NBD-2018-079-001.xml,6/20/2018,TUMFBY - TUM - Release into the Forebay within 0.5 km upstream of Dam,"TUM - Tumwater Dam, Wenatchee River",7,Bull Trout,R,Resident,W,Wild Fish or Natural Production,580,Adult Passage Ladder,LADDER,1
3DD.0077418B28,NBD-2017-091-TUM.xml,4/1/2017,"TUM - Tumwater Dam, Wenatchee River",7/7/2017,TUMFBY - TUM - Release into the Forebay within 0.5 km upstream of Dam,7,Bull Trout,R,Resident,W,Wild Fish or Natural Production,6/30/2018,NBD-2018-079-001.xml,6/30/2018,TUMFBY - TUM - Release into the Forebay within 0.5 km upstream of Dam,"TUM - Tumwater Dam, Wenatchee River",7,Bull Trout,R,Resident,W,Wild Fish or Natural Production,NA,Adult Passage Ladder,LADDER,1
3DD.0077418B28,NBD-2017-091-TUM.xml,4/1/2017,"TUM - Tumwater Dam, Wenatchee River",7/7/2017,TUMFBY - TUM - Release into the Forebay within 0.5 km upstream of Dam,7,Bull Trout,R,Resident,W,Wild Fish or Natural Production,6/23/2019,NBD-2019-137-001.xml,6/23/2019,TUMFBY - TUM - Release into the Forebay within 0.5 km upstream of Dam,"TUM - Tumwater Dam, Wenatchee River",7,Bull Trout,R,Resident,W,Wild Fish or Natural Production,580,Adult Passage Ladder,LADDER,1
3DD.0077419A09,CSS-2019-192-112.xml,7/11/2019,"CHIWAT - Chiwawa River Trap, 0.5 km below CHIP acclimation pond",7/11/2019,"CHIWAT - Chiwawa River Trap, 0.5 km below CHIP acclimation pond",7,Bull Trout,R,Resident,W,Wild Fish or Natural Production,8/29/2019,CSS-2019-241-112.xml,8/29/2019,"CHIWAT - Chiwawa River Trap, 0.5 km below CHIP acclimation pond","CHIWAT - Chiwawa River Trap, 0.5 km below CHIP acclimation pond",7,Bull Trout,R,Resident,W,Wild Fish or Natural Production,500,Screw Trap,SCREWT,1
3DD.0077419D30,NBD-2017-091-TUM.xml,4/1/2017,"TUM - Tumwater Dam, Wenatchee River",7/7/2017,TUMFBY - TUM - Release into the Forebay within 0.5 km upstream of Dam,7,Bull Trout,R,Resident,W,Wild Fish or Natural Production,6/15/2018,NBD-2018-079-001.xml,6/15/2018,TUMFBY - TUM - Release into the Forebay within 0.5 km upstream of Dam,"TUM - Tumwater Dam, Wenatchee River",7,Bull Trout,R,Resident,W,Wild Fish or Natural Production,NA,Adult Passage Ladder,LADDER,1
