tag,mark_file,mark_data_project,mark_site,mark_date,release_site,release_date,species_code,species_name,run_code,run_name,rear_type_code,rear_type_name,length,mark_count
3DD.003D82D0FE,CGS-2021-180-LB1.xml,CGS - Charles Snow Projects,TWISPR - Twisp River,8/10/2021,TWISPR - Twisp River,8/10/2021,7,Bull Trout,R,Resident,W,Wild Fish or Natural Production,222,1
3DD.003D82D1C9,CGS-2021-180-LB1.xml,CGS - Charles Snow Projects,TWISPR - Twisp River,8/30/2021,TWISPR - Twisp River,8/30/2021,7,Bull Trout,R,Resident,W,Wild Fish or Natural Production,195,1
3DD.003D82D201,CGS-2021-264-LF1.xml,CGS - Charles Snow Projects,TWISPR - Twisp River,9/21/2021,TWISPR - Twisp River,9/21/2021,7,Bull Trout,R,Resident,W,Wild Fish or Natural Production,196,1
3DD.003D937153,CGS-2021-264-LF1.xml,CGS - Charles Snow Projects,TWISPR - Twisp River,10/6/2021,TWISPR - Twisp River,10/6/2021,7,Bull Trout,R,Resident,W,Wild Fish or Natural Production,82,1
3DD.003D937175,CGS-2021-264-LF1.xml,CGS - Charles Snow Projects,TWISPR - Twisp River,10/6/2021,TWISPR - Twisp River,10/6/2021,7,Bull Trout,R,Resident,W,Wild Fish or Natural Production,140,1
3DD.003D937176,CGS-2021-264-LF1.xml,CGS - Charles Snow Projects,TWISPR - Twisp River,10/6/2021,TWISPR - Twisp River,10/6/2021,7,Bull Trout,R,Resident,W,Wild Fish or Natural Production,71,1
3DD.003D937179,CGS-2021-264-LF1.xml,CGS - Charles Snow Projects,TWISPR - Twisp River,10/6/2021,TWISPR - Twisp River,10/6/2021,7,Bull Trout,R,Resident,W,Wild Fish or Natural Production,80,1
3DD.003D93717E,CGS-2021-264-LF1.xml,CGS - Charles Snow Projects,TWISPR - Twisp River,10/6/2021,TWISPR - Twisp River,10/6/2021,7,Bull Trout,R,Resident,W,Wild Fish or Natural Production,86,1
3DD.003D937180,CGS-2021-264-LF1.xml,CGS - Charles Snow Projects,TWISPR - Twisp River,10/7/2021,TWISPR - Twisp River,10/7/2021,7,Bull Trout,R,Resident,W,Wild Fish or Natural Production,90,1
3DD.003D937185,CGS-2021-264-LF1.xml,CGS - Charles Snow Projects,TWISPR - Twisp River,10/6/2021,TWISPR - Twisp River,10/6/2021,7,Bull Trout,R,Resident,W,Wild Fish or Natural Production,146,1
